,0
2015-01-05,1000000.0
2015-01-06,1000000.0
2015-01-07,1000000.0
2015-01-08,1000000.0
2015-01-09,1000000.0
2015-01-12,1000000.0
2015-01-13,1000000.0
2015-01-14,1000000.0
2015-01-15,1000000.0
2015-01-16,1000000.0
2015-01-19,1000000.0
2015-01-20,1000000.0
2015-01-21,1000000.0
2015-01-22,1000000.0
2015-01-23,1000000.0
2015-01-26,1000000.0
2015-01-27,1000000.0
2015-01-28,1000000.0
2015-01-29,1000000.0
2015-01-30,1000000.0
2015-02-02,1000000.0
2015-02-03,1000000.0
2015-02-04,1000000.0
2015-02-05,1000000.0
2015-02-06,1000000.0
2015-02-09,1000000.0
2015-02-10,1000000.0
2015-02-11,1000000.0
2015-02-12,1000000.0
2015-02-13,1000000.0
2015-02-16,1000000.0
2015-02-17,1000000.0
2015-02-25,1000000.0
2015-02-26,1000000.0
2015-02-27,1000000.0
2015-03-02,1000000.0
2015-03-03,1000000.0
2015-03-04,1000000.0
2015-03-05,1000000.0
2015-03-06,1000000.0
2015-03-09,1000000.0
2015-03-10,1000000.0
2015-03-11,1000000.0
2015-03-12,1000000.0
2015-03-13,1000000.0
2015-03-16,1000000.0
2015-03-17,1000000.0
2015-03-18,1000000.0
2015-03-19,1000000.0
2015-03-20,1000000.0
2015-03-23,1000000.0
2015-03-24,1000000.0
2015-03-25,1000000.0
2015-03-26,1000000.0
2015-03-27,1000000.0
2015-03-30,1000000.0
2015-03-31,1000000.0
2015-04-01,1000000.0
2015-04-02,1000000.0
2015-04-03,1000000.0
2015-04-07,1000000.0
2015-04-08,1000000.0
2015-04-09,1000000.0
2015-04-10,1000000.0
2015-04-13,1000000.0
2015-04-14,1000000.0
2015-04-15,1000000.0
2015-04-16,1000000.0
2015-04-17,1000000.0
2015-04-20,1000000.0
2015-04-21,1000000.0
2015-04-22,1000000.0
2015-04-23,1000000.0
2015-04-24,1000000.0
2015-04-27,1000000.0
2015-04-28,1000000.0
2015-04-29,1000000.0
2015-04-30,1000000.0
2015-05-04,1000000.0
2015-05-05,1000000.0
2015-05-06,1000000.0
2015-05-07,1000000.0
2015-05-08,1000000.0
2015-05-11,1000000.0
2015-05-12,1000000.0
2015-05-13,1000000.0
2015-05-14,1000000.0
2015-05-15,1000000.0
2015-05-18,1000000.0
2015-05-19,1000000.0
2015-05-20,1000000.0
2015-05-21,1000000.0
2015-05-22,1000000.0
2015-05-25,1000000.0
2015-05-26,1000000.0
2015-05-27,1000000.0
2015-05-28,1000000.0
2015-05-29,1000000.0
2015-06-01,1000000.0
2015-06-02,1000000.0
2015-06-03,1000000.0
2015-06-04,1000000.0
2015-06-05,1000000.0
2015-06-08,1000000.0
2015-06-09,1000000.0
2015-06-10,1000000.0
2015-06-11,1000000.0
2015-06-12,1000000.0
2015-06-15,1000000.0
2015-06-16,1000000.0
2015-06-17,1000000.0
2015-06-18,1000000.0
2015-06-19,1000000.0
2015-06-23,1000000.0
2015-06-24,1000000.0
2015-06-25,1000000.0
2015-06-26,1000000.0
2015-06-29,1000000.0
2015-06-30,1000000.0
2015-07-01,1000000.0
2015-07-02,1000000.0
2015-07-03,1000000.0
2015-07-06,1000000.0
2015-07-07,1000000.0
2015-07-08,1000000.0
2015-07-09,1000000.0
2015-07-10,1000000.0
2015-07-13,1000000.0
2015-07-14,1000000.0
2015-07-15,1000000.0
2015-07-16,1000000.0
2015-07-17,1000000.0
2015-07-20,1000000.0
2015-07-21,1000000.0
2015-07-22,1000000.0
2015-07-23,1000000.0
2015-07-24,1000000.0
2015-07-27,1000000.0
2015-07-28,1000000.0
2015-07-29,1000000.0
2015-07-30,1000000.0
2015-07-31,1000000.0
2015-08-03,1000000.0
2015-08-04,1000000.0
2015-08-05,1000000.0
2015-08-06,1000000.0
2015-08-07,1000000.0
2015-08-10,1000000.0
2015-08-11,1000000.0
2015-08-12,1000000.0
2015-08-13,1000000.0
2015-08-14,1000000.0
2015-08-17,1000000.0
2015-08-18,1000000.0
2015-08-19,1000000.0
2015-08-20,1000000.0
2015-08-21,1000000.0
2015-08-24,1000000.0
2015-08-25,1000000.0
2015-08-26,1000000.0
2015-08-27,1000000.0
2015-08-28,1000000.0
2015-08-31,1000000.0
2015-09-01,1000000.0
2015-09-02,1000000.0
2015-09-07,1000000.0
2015-09-08,1000000.0
2015-09-09,1000000.0
2015-09-10,1000000.0
2015-09-11,1000000.0
2015-09-14,1000000.0
2015-09-15,1000000.0
2015-09-16,1000000.0
2015-09-17,1000000.0
2015-09-18,1000000.0
2015-09-21,1000000.0
2015-09-22,1000000.0
2015-09-23,1000000.0
2015-09-24,1000000.0
2015-09-25,1000000.0
2015-09-28,1000000.0
2015-09-29,1000000.0
2015-09-30,1000000.0
2015-10-08,1000000.0
2015-10-09,1000000.0
2015-10-12,1000000.0
2015-10-13,1000000.0
2015-10-14,1000000.0
2015-10-15,1000000.0
2015-10-16,1000000.0
2015-10-19,996642.23279479
2015-10-20,1004398.73279479
2015-10-21,987756.3327947899
2015-10-22,999096.13279479
2015-10-23,1007120.63279479
2015-10-26,1006030.0327947899
2015-10-27,1009678.13279479
2015-10-28,1001805.8327947899
2015-10-29,1001809.9327947899
2015-10-30,1001110.0327947899
2015-11-02,996486.13279479
2015-11-03,996209.3327947899
2015-11-04,1011714.0327947899
2015-11-05,1009754.5327947899
2015-11-06,1019423.5327947899
2015-11-09,1025744.23279479
2015-11-10,1027943.2327947898
2015-11-11,1033750.0327947899
2015-11-12,1031612.13279479
2015-11-13,1024298.4327947899
2015-11-16,1032998.5327947899
2015-11-17,1026014.7515559271
2015-11-18,1020929.034555927
2015-11-19,1030901.451555927
2015-11-20,1033576.669555927
2015-11-23,1030885.526555927
2015-11-24,1035023.387555927
2015-11-25,1042441.798555927
2015-11-26,1036584.037555927
2015-11-27,1019872.0695559271
2015-11-30,1021967.8905559271
2015-12-01,1020399.414555927
2015-12-02,1016569.952555927
2015-12-03,1025202.212555927
2015-12-04,1023749.6705559271
2015-12-07,1027934.578555927
2015-12-08,1023703.897555927
2015-12-09,1021543.011555927
2015-12-10,1024054.156555927
2015-12-11,1021850.591555927
2015-12-14,1025306.134555927
2015-12-15,1028621.719555927
2015-12-16,1030101.5836718325
2015-12-17,1035545.6086718324
2015-12-18,1035137.4586718325
2015-12-21,1035112.1086718324
2015-12-22,1035856.9336718324
2015-12-23,1031663.6836718324
2015-12-24,1032551.5336718324
2015-12-25,1032472.7836718324
2015-12-28,1028029.4086718324
2015-12-29,1029104.6836718324
2015-12-30,1031331.5086718324
2015-12-31,1026421.6336718324
2016-01-04,1009711.0336718324
2016-01-05,1004122.4086718324
2016-01-06,1007995.4836718324
2016-01-07,992107.3336718325
2016-01-08,991542.2836718324
2016-01-11,980844.8836718324
2016-01-12,983932.8586718324
2016-01-13,977351.2336718324
2016-01-14,985993.9336718324
2016-01-15,984573.8580820978
2016-01-18,984573.8580820978
2016-01-19,984573.8580820978
2016-01-20,984573.8580820978
2016-01-21,984573.8580820978
2016-01-22,984573.8580820978
2016-01-25,984573.8580820978
2016-01-26,984573.8580820978
2016-01-27,984573.8580820978
2016-01-28,984573.8580820978
2016-01-29,984573.8580820978
2016-02-01,984573.8580820978
2016-02-02,984573.8580820978
2016-02-03,984573.8580820978
2016-02-04,984573.8580820978
2016-02-05,984573.8580820978
2016-02-15,984573.8580820978
2016-02-16,984573.8580820978
2016-02-17,984573.8580820978
2016-02-18,984573.8580820978
2016-02-19,984573.8580820978
