signal_date,entry_time,exit_time,fill_date,symbol,side,entry_price,exit_price,fill_price,intended_qty,quantity,pnl,cost_breakdown
2015-10-16,2015-10-19,2015-10-19,2015-10-19,399006,BUY,2466.342555,2466.342555,2466.342555,101.0,100.0,-83.41170521010001,"{'commission': 61.658563875000006, 'stamp_duty': 0.0, 'transfer_fee': 8.410228112550001, 'regulator_fee': 13.342913222550001}"
2015-11-16,2015-10-19,2015-11-17,2015-11-17,399006,SELL,2466.342555,2833.56251,2833.56251,9.0,9.0,3283.6037661370624,"{'commission': 6.3755156475, 'stamp_duty': 12.751031295, 'transfer_fee': 0.8696203343190001, 'regulator_fee': 1.379661586119}"
2015-12-15,2015-10-19,2015-12-16,2015-12-16,399006,SELL,2466.342555,2758.875872,2758.875872,16.0,16.0,4643.533235905432,"{'commission': 11.035503488, 'stamp_duty': 22.071006976, 'transfer_fee': 1.5052426757632, 'regulator_fee': 2.3880829548032}"
2016-01-14,2015-10-19,2016-01-15,2016-01-15,399006,SELL,2466.342555,2159.093913,2159.093913,125.0,75.0,-23269.867214734575,"{'commission': 67.47168478125, 'stamp_duty': 134.9433695625, 'transfer_fee': 9.203137804162502, 'regulator_fee': 14.6008725866625}"
